QB,RB,WR,WR,FLEX,FLEX,DST,,,,Instructions,,,,,,
,,,,,,,,,,1. Locate the player you want to select in the list below ,,,,,,
,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) ,,,,,,
,,,,,,,,,,3. Paste the ID into the roster position desired ,,,,,,
,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name ,,,,,,
,,,,,,,,,,5. You can create up to 500 lineups per file ,,,,,,
 ,,,,,,,,,,,,,,,,
,,,,,,,,,,Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
,,,,,,,,,,WR,Marco Iannuzzi (7206105),Marco Iannuzzi,7206105,3000,Cgy@BC 10:00PM ET,BC
,,,,,,,,,,WR,Juwan Brescacin (7206112),Juwan Brescacin,7206112,3000,Cgy@BC 10:00PM ET,Cgy
,,,,,,,,,,WR,Kyle Graves (7206092),Kyle Graves,7206092,3000,Mtl@Ott 07:00PM ET,Mtl
,,,,,,,,,,WR,Stephen Adekolu (7206114),Stephen Adekolu,7206114,3000,Cgy@BC 10:00PM ET,BC
,,,,,,,,,,WR,Scott MacDonell (7206093),Scott MacDonell,7206093,3000,Mtl@Ott 07:00PM ET,Ott
,,,,,,,,,,WR,Alex Pierzchalski (7206094),Alex Pierzchalski,7206094,3000,Mtl@Ott 07:00PM ET,Ott
,,,,,,,,,,WR,Alex Charette (7206095),Alex Charette,7206095,3000,Mtl@Ott 07:00PM ET,Mtl
,,,,,,,,,,WR,George Johnson (7206097),George Johnson,7206097,3000,Mtl@Ott 07:00PM ET,Mtl
,,,,,,,,,,WR,A'Dre Fraser (7206098),A'Dre Fraser,7206098,3000,Mtl@Ott 07:00PM ET,Mtl
,,,,,,,,,,WR,Emmitt Tims (7206099),Emmitt Tims,7206099,3000,Mtl@Ott 07:00PM ET,Mtl
,,,,,,,,,,RB,Wayne Moore (7206066),Wayne Moore,7206066,2900,Mtl@Ott 07:00PM ET,Mtl
,,,,,,,,,,RB,Patrick Lavoie (7206061),Patrick Lavoie,7206061,2800,Mtl@Ott 07:00PM ET,Ott
,,,,,,,,,,RB,Shaquille Murray-Lawrence (7206076),Shaquille Murray-Lawrence,7206076,2700,Cgy@BC 10:00PM ET,BC
,,,,,,,,,,RB,Rob Cote (7206071),Rob Cote,7206071,2600,Cgy@BC 10:00PM ET,Cgy
,,,,,,,,,,RB,Rolly Lumbala (7206067),Rolly Lumbala,7206067,2500,Cgy@BC 10:00PM ET,BC
,,,,,,,,,,RB,William Powell (7206059),William Powell,7206059,2500,Mtl@Ott 07:00PM ET,Ott
,,,,,,,,,,RB,Martese Jackson (7206062),Martese Jackson,7206062,2500,Mtl@Ott 07:00PM ET,Mtl
,,,,,,,,,,RB,Charlie Power (7206075),Charlie Power,7206075,2500,Cgy@BC 10:00PM ET,Cgy
,,,,,,,,,,RB,Brendan Gillanders (7206063),Brendan Gillanders,7206063,2500,Mtl@Ott 07:00PM ET,Ott
,,,,,,,,,,RB,Jean-Christophe Beaulieu (7206064),Jean-Christophe Beaulieu,7206064,2500,Mtl@Ott 07:00PM ET,Mtl
,,,,,,,,,,RB,William Langlais (7206077),William Langlais,7206077,2500,Cgy@BC 10:00PM ET,Cgy
,,,,,,,,,,RB,Pier-Yves Lavergne (7206078),Pier-Yves Lavergne,7206078,2500,Cgy@BC 10:00PM ET,Cgy
